jahr	Beschäftigte pro ha	Anzahl Beschäftigte	Fläche Kanton in ha
2011	39.973265	147729.5978359	3695.71
2012	40.21803	148634.1781839	3695.71
2013	40.798944	150781.0675498	3695.71
2014	41.085212	151839.0317362	3695.71
