"Jahr"	"Basel-Stadt"	"Basel-Landschaft"	"Leerstandsquote beider Basel (rechte Skala)"
2014	245	427	0.0028
2015	361	528	0.0037
2016	452	645	0.0045
2017	546	809	0.0055
2018	782	1060	0.0074
2019	1124	1492	0.0104
2020	1073	1617	0.0106
2021	1235	1404	0.0103
2022	1328	1353	0.0103
2023	1229	1359	0.0098

