Publikationsjahr	1 Zimmer	2 Zimmer	3 Zimmer	4 Zimmer	5 Zimmer	6 Zimmer u.m.
2013	1083	2926	3850	1452	310	335
2014	1098	2943	3844	1464	317	336
2015	1112	2950	3852	1468	317	341
2016	1113	2960	3843	1486	317	341
2017	1121	2970	3841	1489	316	340
2018	1142	2979	3872	1494	319	342
2019	1103	2968	3863	1498	330	349
2020	1089	2970	3885	1505	331	349
2021	1137	3025	3969	1555	346	353
2022	1146	3094	4024	1583	351	356
2023	1153	3130	4049	1593	364	361
2024	1182	3138	4053	1605	367	360
