"Jahr"	"BS"	"BL"	"AG"	"ZH"	"CH"
2012	165745	69191	65194	100644	80914
2013	166651	69905	65721	100613	81429
2014	169523	71588	65776	101356	81775
2015	171919	72261	64457	100005	81092
2016	183530	72152	64454	99754	81402
2017	190999	72574	64447	99942	81306
2018	196538	72536	65109	104286	83629
2019	196731	72245	65628	102100	83899
2020	189785	71049	63556	96801	80718
2021	192405	74845	66353	100045	84387

