"Jahr"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung"	"Gebäudebet., Sicherh., sonst. wirtsch. DL (inkl. Pers.verm., -überl.)"	"Personalvermittlung, -überlassung"
2012	100.0	100.0	100.0	100.0
2013	105.4	107.7	108.9	111.7
2014	107.6	115.4	112.6	117.7
2015	107.3	111.6	108.1	103.6
2016	110.3	111.1	103.1	99.5
2017	114.2	110.1	105.1	103.3
2018	117.5	117.1	105.4	103.8
2019	120.8	118.4	111.4	112.2
2020	126.6	116.8	100.5	110.9
2021	128.9	120.3	102.6	113.1

