""	"Monatlicher Bruttolohn Lagerei u. sonst. DL für den Verkehr"	"Monatlicher Bruttolohn Post-, Kurier- und Expressdienste"
2010	5331	5887
2012	5682	5559
2014	5813	5625
2016	5957	5765
2018	5965	5213

