Jahr	Über Grenzwert am Tag	Über Grenzwert in der Nacht	Über 50 dB (A) in der Nacht	LaermUeberschrTag	LaermUeberschrNacht	LaermUeberschrNacht50dbA	Mittlere Bevölkerung
2000	13.3752315217908	17.040003799332	25.9573524988523	25347	32292	49191	189507
2003	14.912066697781	19.4010140438712	25.6311256311256	28117	36581	48328	188552
2008	14.4737677173683	16.2354558916861	24.5657922572456	27367	30698	46449	189080
