"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	202113	""	""	""
"1986"	199945	""	""	""
"1987"	198515	""	""	""
"1988"	196752	""	""	""
"1989"	196036	""	""	""
"1990"	196699	""	""	""
"1991"	197987	""	""	""
"1992"	198609	""	""	""
"1993"	199570	""	""	""
"1994"	199004	""	""	""
"1995"	198128	""	""	""
"1996"	196647	""	""	""
"1997"	194268	""	""	""
"1998"	192192	""	""	""
"1999"	190247	""	""	""
"2000"	188151	""	""	""
"2001"	187436	""	""	""
"2002"	188085	""	""	""
"2003"	188079	""	""	""
"2004"	188478	""	""	""
"2005"	187463	""	""	""
"2006"	187368	""	""	""
"2007"	187684	""	""	""
"2008"	189274	""	""	""
"2009"	190045	""	""	""
"2010"	190333	""	""	""
"2011"	192076	""	""	""
"2012"	193459	""	""	""
"2013"	195459	""	""	""
"2014"	196471	""	""	""
"2015"	197204	""	""	""
"2016"	198206	""	""	""
"2017"	198988	""	""	""
"2018"	200256	""	""	""
"2019"	200682	""	""	""
"2020"	201971	""	""	""
"2021"	""	203834	202651	201356
"2022"	""	206219	203721	201000
"2023"	""	208894	204962	200713
"2024"	""	211813	206338	200472
"2025"	""	214927	207807	200250
"2026"	""	218178	209325	200024
"2027"	""	221494	210845	199774
"2028"	""	224791	212321	199489
"2029"	""	227990	213710	199164
"2030"	""	231023	214983	198797
"2031"	""	233848	216120	198393
"2032"	""	236453	217121	197956
"2033"	""	238851	217997	197491
"2034"	""	241077	218770	197003
"2035"	""	243169	219464	196498
"2036"	""	245163	220099	195980
"2037"	""	247085	220692	195453
"2038"	""	248946	221252	194920
"2039"	""	250747	221781	194383
"2040"	""	252484	222281	193845
"2041"	""	254150	222749	193307
"2042"	""	255741	223183	192770
"2043"	""	257255	223585	192235
"2044"	""	258691	223953	191702
"2045"	""	260052	224287	191172

