"Jahr"	"Messe"	"Erlenmatt"
"2013"	0.0315252792	0.0045520121
"2014"	0.0299364087	0.0051088597
"2015"	0.0288507843	0.0050537570
"2016"	0.0225450766	0.0070044008
"2017"	0.0211558196	0.0070861464
"2018"	0.0201416233	0.0076807156
"2019"	0.0213269509	0.0070146008
"2020"	0.0212007014	0.0060939083
"2021"	0.0230685667	0.0062091294
"2022"	0.0235512286	0.0059393190

