"Jahr"	"Schweizer"	"Schweizer 95% Vertrauensintervall Untergrenze"	"Schweizer 95% Vertrauensintervall Obergrenze"	"Schweizerinnen"	"Schweizerinnen 95% Vertrauensintervall Untergrenze"	"Schweizerinnen 95% Vertrauensintervall Obergrenze"	"Ausländer"	"Ausländer 95% Vertrauensintervall Untergrenze"	"Ausländer 95% Vertrauensintervall Obergrenze"	"Ausländerinnen"	"Ausländerinnen 95% Vertrauensintervall Untergrenze"	"Ausländerinnen 95% Vertrauensintervall Obergrenze"
"1990"	0.847	""	""	0.595	""	""	0.862	""	""	0.624	""	""
"2000"	0.793	""	""	0.676	""	""	0.780	""	""	0.642	""	""
"2019-2023"	0.736	0.724	0.748	0.713	0.702	0.725	0.776	0.762	0.789	0.677	0.662	0.692

