"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	2.95	7.45	0.71	4.04	1.46
Bern	2.33	6.11	0.62		
Genf	4.26	9.87	2.88		2.76
Lausanne	2.75	6.09	1.17		
Zürich	3.73	7.76	2.05		
