"Kanton"	"2016"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2017"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2018"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2019"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"	"2020"	"95% Konfidenzintervall Untergrenze"	"95% Konfidenzintervall Obergrenze"
"Basel-Stadt"	43.8700	42.3605	45.3795	43.8979	42.4030	45.3928	43.5629	42.0250	45.1008	44.8463	43.3222	46.3704	50.9393	49.4510	52.4277
"Basel-Landschaft"	32.9972	31.8395	34.1550	32.6663	31.5149	33.8177	32.9820	31.8343	34.1297	33.9115	32.7709	35.0521	40.7317	39.5582	41.9051
"Jura"	23.9841	21.8587	26.1095	24.4939	22.3781	26.6096	25.1732	23.1225	27.2240	23.3416	21.2827	25.4006	23.9043	21.8397	25.9688
"BS/BL/JU"	35.7345	34.8858	36.5831	35.6308	34.7882	36.4735	35.7512	34.9040	36.5985	36.4419	35.5997	37.2840	42.1902	41.3438	43.0367
"Schweiz"	33.8823	33.6889	34.0757	34.6929	34.4967	34.8891	34.4750	34.2789	34.6710	35.5784	35.3825	35.7743	40.0998	39.9082	40.2913

