	Sehr gerne	Eher gerne	Eher ungerne	Sehr ungerne	Keine Angabe
Basel	74.6	22.4	1.9	0.6	0.6
Bern	72.2	24.7	2.7	0.2	0.2
Luzern*	73.5	23.1	3.4		
Zürich	75.7	21.9	1.9	0.3	0.3
