Klassen	Veranlagungen	Summe Gesamtsteuer
0	6957	38810028
1 bis 4 999	1017	1151335
5 000 bis 9 999	471	919106
10 000 bis 19 999	537	1913641
20 000 bis 49 999	729	5209746
50 000 bis 99 999	516	7030164
100 000 bis 999 999	1134	47873597
1 Mio. u.m.	588	656779383




