"Alter"	"Männer"	"Frauen"
"15-19"	2.5	2.1
"20-24"	5.6	3.5
"25-29"	3.7	3.2
"30-34"	4.2	3.7
"35-39"	4.5	3.4
"40-44"	4.6	3.4
"45-49"	4.8	3.7
"50-54"	4.5	3.9
"55-59"	5.4	4.8
"60-64"	10.8	5.7

