wohnviertel_id	Sesshaftigkeit	Rang	Wohnviertel	jahr_num
16	0.2043859649	1	Rosental	2018
2	0.2802712946	2	Vorstädte	2018
12	0.2862985685	3	Altstadt Kleinbasel	2018
3	0.3007723762	4	Am Ring	2018
17	0.3053274776	5	Matthäus	2018
1	0.3108888034	6	Altstadt Grossbasel	2018
13	0.3143067124	7	Clara	2018
6	0.3186005645	8	Gundeldingen	2018
11	0.3187219011	9	St. Johann	2018
5	0.3256459164	10	St. Alban	2018
10	0.3337257903	11	Iselin	2018
18	0.3448512272	12	Klybeck	2018
4	0.346051168	13	Breite	2018
19	0.355143457	14	Kleinhüningen	2018
9	0.35683391	15	Gotthelf	2018
14	0.3606115108	16	Wettstein	2018
15	0.4000213288	17	Hirzbrunnen	2018
30	0.4089035449	18	Bettingen	2018
8	0.4174972315	19	Bachletten	2018
7	0.4236400556	20	Bruderholz	2018
20	0.4254942186	21	Riehen	2018
