	2018	2019	2020	2021	2022
Basel-Stadt	9 026	9 171	8 011	8 476	9 285
Basel-Landschaft	2 306	2 222	1 997	2 079	2 131
Jura	1 525	1 557	1 489	1 470	1 559
BS/BL/JU	12 857	12 949	11 497	12 025	12 975

