JAHR	Messe	Erlenmatt
2004	4465	134
2005	4472	145
2006	4574	148
2007	4620	155
2008	4713	170
2009	4680	397
2010	4616	526
2011	4543	606
2012	4644	625
2013	4756	625
2014	4729	608
2015	4710	1463
2016	4802	1750
2017	4726	1877
2018	4730	2110
2019	4758	2784
2020	4694	2952
2021	4647	2955
2022	4722	2982
2023	4711	3107
