Jahr	Natürlich, naturnah	Wenig beeinträchtigt	Stark beeinträchtigt	Künstlich, naturfremd	Eingedolt
2006	1	4.54	13.19	6.77	9.52
2014	1.98	9.69	11.87	14.63	9.27
2024	1.98	9.87	13.01	13.38	9.33
2025	2	10.4	13.3	12.2	9.3
