	in der Schweiz geborene Schweizer/innen	in der Schweiz geborene Ausländer/innen	im Ausland geborene Schweizer/innen	im Ausland geborene Ausländer/innen
2015	88.27	85.542	85.43	74.418
2016	90.888	85.667		75.316
2017	88.959	87.381		70.585
2018	90.501	81.864		71.301
2019	89.2	84.837		71.867
2020	88.101	80.835		73.465
