"Jahr"	"Basel-Binningen (vorstädtisch, keine Bebauung)"	"Feldbergstrasse, Basel (Stadtzentrum, geschlossene Bebauung)"	"St. Johann, Basel (Stadtzentrum, offene Bebauung)"	"Klingelbergstrasse, Basel (Stadtzentrum, 38m über Grund)"	"Sissach (vorstädtisch, offene Bebauung)"	"Dornach (vorstädtisch, offene Bebauung)"
2010	2	22	16	5	0	7
2011	2	14	14	6	2	3
2012	4	17	16	6	3	4
2013	4	23	18	6	4	7
2014	0	12	11	1	0	1
2015	11	40	34	21	1	22
2016	1	23	19	1	0	4
2017	6	40	35	11	1	9
2018	3	44	38	9	0	6
2019	6	34	31	10	3	10
2020	3	28	24	8	1	7
2021	1	6	6	5	0	0
2022	5	19	13	11	2	4
