	2019	2020	Veränderung in % (rechte Skala)
00:00	231	105	-0.55
01:00	133	78	-0.42
02:00	97	59	-0.40
03:00	136	91	-0.33
04:00	287	196	-0.32
05:00	739	592	-0.20
06:00	1904	1750	-0.08
07:00	2382	2163	-0.09
08:00	2290	1557	-0.32
09:00	2118	1386	-0.35
10:00	1964	1378	-0.30
11:00	2055	1407	-0.32
12:00	1949	1416	-0.27
13:00	2175	1584	-0.27
14:00	2127	1555	-0.27
15:00	2337	1675	-0.28
16:00	2068	2091	0.01
17:00	2241	2002	-0.11
18:00	2187	1407	-0.36
19:00	1720	899	-0.48
20:00	1306	600	-0.54
21:00	1129	407	-0.64
22:00	901	320	-0.64
23:00	594	193	-0.68
