"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	-820	""	""	""
"1986"	-904	""	""	""
"1987"	-764	""	""	""
"1988"	-842	""	""	""
"1989"	-891	""	""	""
"1990"	-974	""	""	""
"1991"	-671	""	""	""
"1992"	-703	""	""	""
"1993"	-567	""	""	""
"1994"	-561	""	""	""
"1995"	-755	""	""	""
"1996"	-451	""	""	""
"1997"	-726	""	""	""
"1998"	-722	""	""	""
"1999"	-711	""	""	""
"2000"	-716	""	""	""
"2001"	-755	""	""	""
"2002"	-830	""	""	""
"2003"	-774	""	""	""
"2004"	-520	""	""	""
"2005"	-513	""	""	""
"2006"	-520	""	""	""
"2007"	-351	""	""	""
"2008"	-478	""	""	""
"2009"	-407	""	""	""
"2010"	-279	""	""	""
"2011"	-163	""	""	""
"2012"	-229	""	""	""
"2013"	-120	""	""	""
"2014"	-176	""	""	""
"2015"	-126	""	""	""
"2016"	152	""	""	""
"2017"	-64	""	""	""
"2018"	-29	""	""	""
"2019"	-25	""	""	""
"2020"	-164	""	""	""
"2021"	6	""	""	""
"2022"	""	160	2	-157
"2023"	""	226	23	-183
"2024"	""	293	52	-194
"2025"	""	353	77	-207
"2026"	""	409	96	-217
"2027"	""	464	117	-228
"2028"	""	518	136	-237
"2029"	""	571	155	-247
"2030"	""	621	174	-256
"2031"	""	667	187	-266
"2032"	""	709	199	-277
"2033"	""	743	208	-287
"2034"	""	776	216	-297
"2035"	""	805	223	-307
"2036"	""	830	227	-314
"2037"	""	853	232	-323
"2038"	""	875	236	-329
"2039"	""	896	238	-338
"2040"	""	915	241	-343
"2041"	""	935	243	-350
"2042"	""	955	247	-354
"2043"	""	973	248	-359
"2044"	""	992	250	-366
"2045"	""	1008	250	-372

