	0-7 J.	8-12 J.	13-15 J.	16-17 J.	Total
2013	0	1	5	5	11
2014	0	0	5	11	16
2015	0	1	18	25	44
2016	0	0	19	17	36
2017	0	1	7	7	15
2018	1	4	2	3	10
2019	0	0	3	8	11
2020 	0	0	5	11	16
2021	0	2	4	14	20
2022	1	5	20	45	71
