"Jahr"	"0 bis 17 J. (Stadt)"	"18 bis 25 J. (Stadt)"	"26 bis 35 J. (Stadt)"	"36 bis 50 J. (Stadt)"	"51 bis 65 J. (Stadt)"	"66 J. u.m. (Stadt)"	"Total (Stadt)"	"0 bis 17 J. (Kanton)"	"18 bis 25 J. (Kanton)"	"26 bis 35 J. (Kanton)"	"36 bis 50 J. (Kanton)"	"51 bis 65 J. (Kanton)"	"66 J. u.m. (Kanton)"	"Total (Kanton)"
"2009"	13.19	8.53	7.27	8.02	4.77	0.21	6.64	""	""	""	""	""	""	""
"2010"	12.54	9.24	6.95	7.83	4.89	0.20	6.55	""	""	""	""	""	""	""
"2011"	13.06	10.05	7.33	8.26	5.27	0.25	6.94	""	""	""	""	""	""	""
"2012"	13.05	10.37	7.61	8.29	5.48	0.22	7.07	""	""	""	""	""	""	""
"2013"	13.54	10.30	7.68	8.21	5.46	0.21	7.14	""	""	""	""	""	""	""
"2014"	13.59	9.96	7.27	8.19	5.68	0.19	7.07	""	""	""	""	""	""	""
"2015"	13.30	9.85	7.09	8.26	6.09	0.20	7.08	""	""	""	""	""	""	""
"2016"	13.54	10.18	7.50	8.40	6.36	0.23	7.31	""	""	""	""	""	""	""
"2017"	""	""	""	""	""	""	""	12.74	9.82	7.42	8.20	5.97	0.21	6.99
"2018"	""	""	""	""	""	""	""	12.51	9.12	7.28	7.94	6.05	0.22	6.84

