JAHR	Wohnviertel_id	Wohnviertel	Total	Deutschland	Italien	Türkei	Spanien	Portugal	Nordmazedonien	Jugoslawien	Serbien, Montenegro, Kosovo	Bosnien-Herzegowina	Slowenien	Kroatien	Frankreich	UK	Ukraine	Indien	Schweiz	Übrige Länder
2008	19	Kleinhüningen	2553	125	212	204	30	28	129	0	84	29	1	21	21	25	1	5	1464	174
2009	19	Kleinhüningen	2639	142	210	212	30	27	119	0	107	26	2	24	24	26	0	7	1443	240
2010	19	Kleinhüningen	2624	141	212	206	27	26	121	0	108	27	2	25	9	12	1	4	1476	227
2011	19	Kleinhüningen	2699	155	209	206	28	29	118	0	128	25	2	26	12	11	3	13	1492	242
2012	19	Kleinhüningen	2877	195	196	188	30	33	124	0	135	25	4	27	13	15	3	28	1567	294
2013	19	Kleinhüningen	2878	191	206	188	31	36	120	0	138	21	3	25	15	16	3	18	1562	305
2014	19	Kleinhüningen	2876	177	198	195	29	42	118	0	141	21	3	23	13	25	3	19	1562	307
2015	19	Kleinhüningen	2900	188	199	184	33	41	125	0	139	19	4	24	14	26	0	20	1555	329
2016	19	Kleinhüningen	2893	192	196	179	36	42	118	0	127	20	5	19	14	22	0	18	1536	369
2017	19	Kleinhüningen	2844	185	203	174	35	43	126	0	130	20	9	16	13	23	0	18	1495	354
2018	19	Kleinhüningen	2858	184	215	172	42	50	131	0	135	20	9	11	12	21	0	23	1487	346
2019	19	Kleinhüningen	2798	171	202	162	52	53	115	0	136	18	7	9	12	17	1	15	1483	345
2020	19	Kleinhüningen	2809	185	211	167	52	60	121	0	130	17	7	10	14	20	2	12	1440	361
2021	19	Kleinhüningen	2749	189	205	155	50	58	124	0	115	19	8	8	17	12	2	5	1430	352
2022	19	Kleinhüningen	2793	188	202	162	56	62	113	0	115	17	10	8	20	10	12	8	1410	400
1980	20	Riehen	20847	859	387	35	79	11	0	86	0	0	0	0	94	45	0	11	18782	458
1981	20	Riehen	20881	856	379	34	83	9	0	91	0	0	0	0	90	53	0	12	18797	477
1982	20	Riehen	20706	824	360	35	89	9	0	87	0	0	0	0	84	60	0	13	18683	462
1983	20	Riehen	20560	786	352	32	91	9	0	94	0	0	0	0	83	61	0	11	18624	417
1984	20	Riehen	20472	779	335	30	97	6	0	95	0	0	0	0	79	61	0	7	18600	383
1985	20	Riehen	20513	762	326	40	95	9	0	87	0	0	0	0	77	65	0	10	18688	354
1986	20	Riehen	20423	748	321	42	105	10	0	102	0	0	0	0	70	71	0	12	18587	355
1987	20	Riehen	20230	736	313	39	96	6	0	91	0	0	0	0	66	60	0	13	18465	345
1988	20	Riehen	20062	709	319	45	92	10	0	102	0	0	0	0	64	59	0	14	18284	364
1989	20	Riehen	20101	726	319	56	92	7	0	107	0	0	0	0	66	66	0	11	18274	377
1990	20	Riehen	20083	729	336	62	85	6	0	136	0	0	0	0	62	74	0	12	18191	390
1991	20	Riehen	20070	739	339	67	81	4	0	156	0	0	0	0	60	73	0	9	18088	454
1992	20	Riehen	20167	732	338	128	68	12	0	174	0	0	0	21	59	78	0	14	18120	423
1993	20	Riehen	20241	738	354	159	80	20	1	157	0	10	2	51	60	67	0	18	18074	450
1994	20	Riehen	20491	783	360	183	86	21	16	138	0	9	1	55	61	74	0	21	18221	462
1995	20	Riehen	20794	828	385	229	89	18	13	128	0	29	1	51	66	81	0	27	18353	496
1996	20	Riehen	20948	832	383	218	90	22	24	149	0	30	3	47	67	85	0	24	18450	524
1997	20	Riehen	20841	821	396	215	95	22	23	143	0	34	2	38	74	83	0	22	18341	532
1998	20	Riehen	20693	851	392	213	91	19	28	181	0	22	2	41	62	81	2	26	18146	536
1999	20	Riehen	20641	873	423	211	95	17	26	163	0	22	2	45	56	84	1	29	18029	565
2000	20	Riehen	20523	933	432	202	101	16	34	135	0	22	3	45	53	106	3	27	17834	577
2001	20	Riehen	20713	1009	451	203	105	17	35	140	0	34	3	55	61	128	3	25	17783	661
2002	20	Riehen	20691	1120	425	170	91	16	40	130	0	40	7	49	74	133	6	27	17641	722
2003	20	Riehen	20685	1191	440	160	99	18	38	0	135	26	7	51	77	163	7	21	17496	756
2004	20	Riehen	20628	1299	452	182	99	20	33	0	122	21	9	47	81	166	7	32	17319	739
2005	20	Riehen	20463	1379	460	167	99	19	31	0	117	18	9	50	80	162	4	40	17101	727
2006	20	Riehen	20529	1506	463	182	95	23	36	0	125	22	5	46	80	185	4	37	16989	731
2007	20	Riehen	20549	1652	445	171	97	22	32	0	135	20	4	46	88	188	6	26	16852	765
2008	20	Riehen	20571	1774	457	175	96	20	36	0	129	16	6	48	85	179	5	15	16753	777
2009	20	Riehen	20516	1853	458	186	101	18	33	0	128	16	5	51	74	179	7	13	16559	835
2010	20	Riehen	20756	1994	475	188	107	21	34	0	131	20	4	55	66	201	27	18	16471	944
2011	20	Riehen	20730	2062	480	198	116	30	35	0	146	20	4	64	68	212	10	25	16259	1001
2012	20	Riehen	20832	2095	478	199	134	36	40	0	136	23	9	70	72	236	11	21	16231	1041
2013	20	Riehen	20939	2210	492	204	140	54	42	0	140	26	8	67	84	239	17	25	16105	1086
2014	20	Riehen	20947	2248	516	224	160	63	52	0	150	30	12	68	88	251	22	36	15906	1121
2015	20	Riehen	20869	2259	525	239	161	72	60	0	158	26	11	68	82	250	23	32	15746	1157
2016	20	Riehen	21001	2325	530	261	166	61	69	0	178	24	12	62	86	268	25	33	15637	1264
2017	20	Riehen	21336	2395	568	256	171	69	69	0	178	27	12	65	87	274	24	41	15768	1332
2018	20	Riehen	21448	2475	573	276	170	78	70	0	179	26	14	62	87	271	28	39	15739	1361
2019	20	Riehen	21443	2443	576	279	173	79	68	0	198	25	17	69	104	259	31	46	15629	1447
2020	20	Riehen	21701	2507	598	278	187	80	62	0	195	27	18	64	110	269	35	48	15699	1524
2021	20	Riehen	21872	2519	575	269	199	71	67	0	196	30	17	68	110	255	37	49	15815	1595
2022	20	Riehen	22256	2643	578	261	185	77	77	0	179	30	16	71	126	235	214	62	15803	1699
1980	30	Bettingen	1177	197	3	0	8	0	0	0	0	0	0	0	3	0	0	0	944	22
1981	30	Bettingen	1172	194	3	0	6	0	0	3	0	0	0	0	3	0	0	0	945	18
1982	30	Bettingen	1138	194	4	1	2	0	0	0	0	0	0	0	4	0	0	0	923	10
1983	30	Bettingen	1147	204	3	0	1	0	0	0	0	0	0	0	6	0	0	0	926	7
1984	30	Bettingen	1127	199	2	0	1	0	0	0	0	0	0	0	6	0	0	0	910	9
1985	30	Bettingen	1107	180	2	0	1	0	0	1	0	0	0	0	5	0	0	0	902	16
1986	30	Bettingen	1148	190	2	0	3	1	0	1	0	0	0	0	5	1	0	0	936	9
1987	30	Bettingen	1147	176	4	0	3	2	0	1	0	0	0	0	4	2	0	0	947	8
1988	30	Bettingen	1113	168	6	0	4	2	0	1	0	0	0	0	4	2	0	0	919	7
1989	30	Bettingen	1078	153	8	0	0	2	0	1	0	0	0	0	3	2	0	0	902	7
1990	30	Bettingen	1092	142	9	0	0	2	0	1	0	0	0	0	3	1	0	0	925	9
1991	30	Bettingen	1112	133	8	1	0	2	0	3	0	0	0	0	4	1	0	0	947	13
1992	30	Bettingen	1116	146	6	0	0	2	0	2	0	0	0	2	5	2	0	0	936	15
1993	30	Bettingen	1148	140	9	0	0	2	0	3	0	0	0	3	5	3	0	0	969	14
1994	30	Bettingen	1162	128	9	0	0	2	0	2	0	0	0	2	4	3	0	0	999	13
1995	30	Bettingen	1154	131	10	0	0	2	0	0	0	0	0	2	3	2	0	0	989	15
1996	30	Bettingen	1150	120	10	0	0	2	0	0	0	0	0	1	3	3	0	0	989	22
1997	30	Bettingen	1157	121	6	0	0	0	0	1	0	0	0	2	5	3	1	1	990	27
1998	30	Bettingen	1180	127	5	0	1	0	0	1	0	0	0	1	5	4	1	0	995	40
1999	30	Bettingen	1198	130	6	0	1	0	0	1	0	0	0	0	6	5	1	0	1003	45
2000	30	Bettingen	1187	135	5	0	1	0	0	2	0	0	0	0	5	4	1	0	991	43
2001	30	Bettingen	1161	142	5	0	2	0	0	1	0	0	0	0	4	7	0	0	951	49
2002	30	Bettingen	1173	140	5	0	1	0	0	2	0	0	0	0	5	8	0	0	953	59
2003	30	Bettingen	1203	143	5	0	2	0	0	0	1	1	0	0	4	7	0	0	974	66
2004	30	Bettingen	1202	157	5	0	2	0	0	0	3	2	0	0	3	8	0	0	966	56
2005	30	Bettingen	1196	173	4	0	3	0	0	0	3	2	0	0	4	7	0	0	946	54
2006	30	Bettingen	1204	190	5	0	3	0	0	0	4	1	0	0	3	17	0	0	936	45
2007	30	Bettingen	1179	197	5	0	5	0	0	0	4	1	0	0	3	13	0	0	912	39
2008	30	Bettingen	1175	209	8	0	8	0	0	0	4	1	0	0	3	12	0	0	890	40
2009	30	Bettingen	1195	230	5	1	6	0	0	0	3	1	0	0	5	15	0	0	879	50
2010	30	Bettingen	1167	232	6	1	1	0	0	0	2	1	0	0	5	14	0	0	855	50
2011	30	Bettingen	1182	210	10	0	1	0	0	0	2	1	0	0	6	17	0	0	879	56
2012	30	Bettingen	1199	204	11	1	2	0	0	0	3	1	0	0	3	14	0	1	899	60
2013	30	Bettingen	1190	205	12	1	6	0	0	0	3	1	0	0	2	19	0	1	894	46
2014	30	Bettingen	1238	228	17	1	9	0	0	0	4	1	0	0	1	18	0	1	895	63
2015	30	Bettingen	1204	196	15	1	9	2	0	0	3	1	0	0	1	14	0	1	901	60
2016	30	Bettingen	1190	188	16	1	11	2	0	0	3	1	0	0	1	11	1	1	895	59
2017	30	Bettingen	1191	169	18	1	6	2	0	0	3	2	0	0	2	11	1	4	903	69
2018	30	Bettingen	1213	179	18	2	10	2	0	0	3	1	0	0	2	15	1	0	914	66
2019	30	Bettingen	1180	171	20	2	7	2	1	0	2	1	0	2	4	17	2	0	882	67
2020	30	Bettingen	1185	166	19	2	8	2	1	0	2	1	0	2	3	19	2	0	886	72
2021	30	Bettingen	1244	177	18	8	6	2	1	0	2	1	0	1	5	17	2	0	926	78
2022	30	Bettingen	1318	189	21	10	6	4	1	0	1	0	0	1	5	15	8	3	984	70
1980	99	Kanton Basel-Stadt	206396	5604	14642	1900	4591	246	0	2265	0	0	0	0	1299	457	0	118	170171	5103
1981	99	Kanton Basel-Stadt	204982	5514	14272	2129	4775	313	0	2456	0	0	0	0	1285	515	0	126	168212	5385
1982	99	Kanton Basel-Stadt	203920	5421	14027	2610	4884	334	0	2701	0	0	0	0	1254	545	0	143	166522	5479
1983	99	Kanton Basel-Stadt	203212	5364	13746	3518	5060	378	0	2910	0	0	0	0	1250	529	0	137	164981	5339
1984	99	Kanton Basel-Stadt	202689	5248	13479	4325	5195	392	0	3157	0	0	0	0	1259	529	0	161	163535	5409
1985	99	Kanton Basel-Stadt	202113	5105	13332	5323	5322	434	0	3279	0	0	0	0	1256	568	0	170	162061	5263
1986	99	Kanton Basel-Stadt	199945	5050	13206	4747	5394	515	0	3486	0	0	0	0	1222	581	0	172	160383	5189
1987	99	Kanton Basel-Stadt	198515	4950	12951	5663	5326	572	0	3759	0	0	0	0	1178	592	0	208	158074	5242
1988	99	Kanton Basel-Stadt	196752	4969	12805	5855	5362	633	0	4173	0	0	0	0	1121	625	0	207	155762	5240
1989	99	Kanton Basel-Stadt	196036	4992	12648	5999	5381	706	0	4766	0	0	0	0	1120	665	0	207	153927	5625
1990	99	Kanton Basel-Stadt	196699	5121	12620	6423	5464	823	0	5495	0	0	0	0	1156	692	0	237	152474	6194
1991	99	Kanton Basel-Stadt	197987	5197	12577	6990	5362	946	0	6613	0	0	0	0	1126	718	0	259	151500	6699
1992	99	Kanton Basel-Stadt	198609	5353	12445	7263	5258	1052	0	7046	0	3	101	591	1088	762	0	260	150325	7062
1993	99	Kanton Basel-Stadt	199570	5397	12350	7646	5209	1177	280	6671	0	402	129	1257	1059	773	2	285	149601	7332
1994	99	Kanton Basel-Stadt	199004	5459	12200	7896	5133	1308	1282	6037	0	614	135	1446	1051	800	8	302	148051	7282
1995	99	Kanton Basel-Stadt	198128	5510	11975	8101	5048	1416	1644	6176	0	761	133	1519	1024	775	9	314	146288	7435
1996	99	Kanton Basel-Stadt	196647	5614	11641	8239	4877	1472	1763	6244	0	775	130	1505	1034	788	19	389	144534	7623
1997	99	Kanton Basel-Stadt	194268	5683	11343	8294	4644	1481	1873	6254	0	778	129	1489	1025	819	21	377	142385	7673
1998	99	Kanton Basel-Stadt	192192	5741	10928	8268	4425	1458	1920	6526	0	756	102	1495	1014	862	32	334	140408	7923
1999	99	Kanton Basel-Stadt	190247	5861	10650	8343	4211	1449	2014	6458	0	1197	100	1508	1044	891	35	335	137966	8185
2000	99	Kanton Basel-Stadt	188151	6155	10228	8250	4055	1484	2100	5897	0	1287	102	1516	1021	910	37	314	136304	8491
2001	99	Kanton Basel-Stadt	187436	6442	9905	8131	3914	1512	2188	5841	0	1310	101	1493	1012	1059	54	355	134912	9207
2002	99	Kanton Basel-Stadt	188085	7280	9620	8105	3838	1704	2272	5862	0	1326	97	1504	1067	1178	65	385	133799	9983
2003	99	Kanton Basel-Stadt	188079	8020	9307	7957	3692	1753	2327	0	5904	1287	100	1479	1071	1240	78	429	132726	10709
2004	99	Kanton Basel-Stadt	188478	8925	9113	7901	3473	1832	2341	0	5843	1268	96	1434	1099	1285	94	523	132059	11192
2005	99	Kanton Basel-Stadt	187463	9962	8793	7776	3297	1994	2310	0	5753	1205	91	1365	1143	1356	101	625	130423	11269
2006	99	Kanton Basel-Stadt	187368	10966	8541	7667	3140	2086	2334	0	5686	1145	87	1309	1247	1508	129	749	129026	11748
2007	99	Kanton Basel-Stadt	187684	12172	8212	7274	2944	2248	2250	0	5297	985	100	1221	1369	1576	147	763	129011	12115
2008	99	Kanton Basel-Stadt	189274	13291	8108	6995	2887	2439	2215	0	4978	895	108	1085	1428	1662	162	977	129228	12816
2009	99	Kanton Basel-Stadt	190045	14189	8033	6829	2872	2543	2168	0	4787	822	102	1054	1470	1806	167	1225	128368	13610
2010	99	Kanton Basel-Stadt	190333	14419	7955	6768	2884	2566	2221	0	4690	789	111	1026	1439	1826	174	1234	128201	14030
2011	99	Kanton Basel-Stadt	192076	14885	7996	6723	2965	2767	2225	0	4711	743	123	1014	1482	1993	164	1568	127981	14736
2012	99	Kanton Basel-Stadt	193459	14963	7969	6651	3101	2963	2255	0	4666	746	131	989	1557	2062	185	1733	127932	15556
2013	99	Kanton Basel-Stadt	195459	15405	8120	6599	3370	3199	2254	0	4555	735	153	978	1649	2154	203	1818	127907	16360
2014	99	Kanton Basel-Stadt	196471	15620	8240	6529	3587	3346	2242	0	4501	709	172	985	1797	2191	220	1757	127692	16883
2015	99	Kanton Basel-Stadt	197204	15756	8302	6392	3671	3343	2260	0	4419	689	203	948	1980	2189	219	1692	127617	17524
2016	99	Kanton Basel-Stadt	198206	16066	8436	6312	3718	3390	2266	0	4368	661	206	929	2094	2216	224	1614	127398	18308
2017	99	Kanton Basel-Stadt	198988	16189	8509	6293	3689	3449	2234	0	4321	651	225	905	2152	2207	216	1651	127378	18919
2018	99	Kanton Basel-Stadt	200256	16459	8651	6194	3844	3469	2218	0	4311	634	250	890	2210	2198	211	1666	127325	19726
2019	99	Kanton Basel-Stadt	200407	16380	8651	6056	3927	3421	2156	0	4231	622	247	868	2299	2170	225	1670	127092	20392
2020	99	Kanton Basel-Stadt	201971	16648	8785	5951	4047	3418	2157	0	4144	607	258	850	2414	2268	244	1644	127276	21260
2021	99	Kanton Basel-Stadt	201805	16564	8671	5741	4176	3390	2095	0	4029	588	264	835	2393	2132	247	1661	127371	21648
2022	99	Kanton Basel-Stadt	204550	16949	8823	5665	4287	3472	2068	0	3933	555	270	906	2442	2001	1942	1815	126925	22497
