Jahr	Datensätze Geoportal	Datensätze Datenportal	Organisationen Datenportal (rechte Skala)
2016	102		
2017	109		
2018	120		
2019	145	52	19
2020	152	98	28
2021	165	138	29
2022	175	203	34
