"Kaderstufe"	"Schweiz"	"Schweizer"	"Schweizerinnen"	"Ausland"	"Ausländer"	"Ausländerinnen"
"Oberes Kader"	94.3	57.4	36.9	5.7	2.5	3.3
"Mittleres Kader"	94.1	55.0	39.1	5.9	4.1	1.8
"Mittleres Fachkader"	89.7	41.4	48.3	10.3	5.2	5.2
"Unteres Kader"	85.9	56.0	29.8	14.1	7.9	6.3
"Unteres Fachkader"	90.9	54.5	36.4	9.1	2.6	6.5
"Ohne Kaderfunktion"	84.9	31.7	53.2	15.1	5.9	9.2

