"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	512.83	319.78	520.37	593.42	649.95
Bern	472.28	382.11	514.54		
Genf	518.45	346.22	520.47		621.74
Lausanne	493.49	349.47	563.1		
Zürich	494.23	331.09	564.11		
