"Jahr"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"2020"	66488	48909	22921
"2021-2025"	405774	284737	143023
"2026-2030"	622041	329996	119369
"2031-2035"	380620	211570	66611
"2036-2040"	365463	178917	45294

