"Jahr"	"Critical Load nicht überschritten"	"0 - 5 kg N/ha/Jahr über Critical Load"	"5 - 10 kg N/ha/Jahr über Critical Load"	"10 - 15 kg N/ha/Jahr über Critical Load"	"15 - 20 kg N/ha/Jahr über Critical Load"	"> 20 kg N/ha/Jahr über Critical Load"
2009	438	6473	10219	1269	5140	616
2015	98	8839	10686	3845	604	254
