"Wohnviertel"	"Grünfläche"
Matthäus	6.43
Altstadt Kleinbasel	8.33
Clara	9.02
Altstadt Grossbasel	9.85
Gundeldingen	11.02
Rosental	12.21
Klybeck	15.69
Am Ring	19.77
Gotthelf	22.41
Iselin	23.96
Breite	27.36
St. Johann	34.45
Vorstädte	35.00
Wettstein	38.10
Bachletten	46.26
St. Alban	82.74
Kleinhüningen	108.19
Bruderholz	196.47
Hirzbrunnen	198.50
Riehen	403.27
Bettingen	1702.31
