"Jahr"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung"	"Gebäudebet., Sicherh., sonst. wirtsch. DL (inkl. Pers.verm., -überl.)"	"Personalvermittlung, -überlassung"
2008	100.0	100.0	100.0	100.0
2009	95.8	107.2	98.2	96.5
2010	97.4	107.3	104.0	99.4
2011	100.6	107.2	108.1	101.4
2012	104.1	116.5	118.1	111.9
2013	110.7	126.2	123.8	118.0
2014	111.9	133.2	126.9	120.8
2015	110.0	132.1	126.7	118.5
2016	111.8	136.0	123.4	114.8
2017	114.3	138.7	125.3	117.0

