"Jahr"	"St. Johann"	"St. Johann 95% Konfidenzintervall Untergrenze"	"St. Johann 95% Konfidenzintervall Obergrenze"	"Basel"	"Basel 95% Konfidenzintervall Untergrenze"	"Basel 95% Konfidenzintervall Obergrenze"
1990	0.75785	"."	"."	0.73080	"."	"."
2000	0.71400	"."	"."	0.72945	"."	"."
"2018-2022"	0.71511	0.69363	0.73658	0.72430	0.71735	0.73125

