	Männer	Frauen	Total
2004	17.5	26.5	22.3
2007	17	28.4	23.1
2010	16.7	26.7	22.2
2013	18.5	26.9	22.7
2016	16.1	25.7	21.1
2020	18.8	28.3	23.4
