	Sehr einverstanden	Eher einverstanden	Eher nicht einverstanden	Überhaupt nicht einverstanden	Weiss nicht	Keine Angabe
2003	234	341	443	321	158	0
2005	180	357	481	345	147	0
2007	159	385	496	301	168	0
2011	295.36709	368.54007	440.2382	316.92667	91.3657	3.56227
2015	233.04141	479.84961	461.40652	184.0328	147.66966	0
2019	209.51609	474.52506	433.92196	136.41413	728.7466	124.87616
2023	141.52216	393.0156	408.60612	187.81315	651.82007	271.22289

