Jahr	Mietwohnungen	Genossenschaftswohnungen	Selbstbewohnte Eigentümerwohnungen	Sonstige Wohnungen	gesamter Wohnungsbestand
2013	2324	61	131	17	2533
2014	2299	60	129	17	2505
2015	2699	59	160	16	2934
2016	2832	61	180	15	3088
2017	2819	83	170	24	3096
2018	2905	110	165	31	3211
2019	3227	111	164	53	3555
2020	3231	107	167	55	3560
2021	3272	103	166	54	3595
2022	3279	104	168	51	3602
2023	3365	106	164	41	3676
2024	3377	108	163	40	3688
