""	"Abbruch, Vorbereitung"	"Elektroinstallation"	"Sanitär, Heizung, Lüftung"	"Sonstige Bauinstallation"	"Stuck, Gipserei, Verputzerei"	"Bautischlerei, -schlosserei"	"Boden, Fliesen, Tapeziererei"	"Malerei und Glaserei"	"Sonstiger Ausbau"	"Spezialisierte Bautätigkeit"
2012	7.4	2093.5	1191.3	288.5	244.1	143.0	326.6	877.9	25.2	600.9
2013	29.4	2205.5	1094.5	228.9	235.0	144.4	320.0	867.2	12.1	622.3
2014	23.2	2319.0	1125.6	258.4	256.4	120.5	350.7	895.5	14.3	649.1
2015	5.6	2547.5	1118.7	238.8	271.9	132.1	363.4	896.4	14.0	616.9
2016	8.0	2465.8	1170.5	228.6	286.7	145.2	369.0	883.5	13.0	551.7
2017	18.0	2330.3	1184.9	218.2	276.6	104.9	339.4	865.5	9.7	573.4
2018	15.4	2320.3	1150.1	208.0	291.0	106.4	355.9	845.8	9.8	421.8
2019	16.1	2181.3	1197.4	154.4	254.9	87.8	356.5	854.9	12.5	384.6
2020	14.6	2145.9	1144.6	145.5	262.1	98.9	350.9	844.5	12.7	385.2

