Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	587	690	116	15	80	0
2005	518	781	120	24	61	0
2007	493	808	126	10	62	0
2011	737	625	93	9	43	2
2015	650	693	69	6	77	0
2019	796	820	136	16	148	92
