Jahr,Mio Franken
1990,13578
1991,14280
1992,14647
1993,15162
1994,15761
1995,16179
1996,16595
1997,17007
1998,17387
1999,17974
2000,18477
2001,19045
2002,19500
2003,20026
2004,20688
2005,21171
2006,21715
2007,23197
2008,23951
2009,24605
2010,25141
2011,25790
2012,26374
2013,27530
2014,28097
2015,28557
