	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2014	100.0	100.0	100.0	100.0	100.0
2015	103.1	102.2	98.5	102.4	101.3
2016	107.8	102.7	98.3	105.2	103.1
2017	115.3	106.2	101.0	111.0	104.9
2018	119.9	109.9	103.3	115.1	107.8
