"Jahr"	"Waldreservate"	"Zielwert 2035"
1997	0.61	10
1998	0.61	10
1999	0.61	10
2000	0.61	10
2001	0.61	10
2002	0.61	10
2003	0.61	10
2004	0.61	10
2005	0.61	10
2006	0.61	10
2007	0.61	10
2008	0.61	10
2009	0.61	10
2010	0.61	10
2011	0.61	10
2012	0.61	10
2013	0.61	10
2014	0.61	10
2015	0.61	10
2016	0.61	10
2017	0.61	10
2018	0.61	10
2019	0.61	10
2020	0.61	10
2021	24.72	10
