"JAHR"	"Messe"	"Erlenmatt"
2000	49.5818	51.5464
2001	49.1336	62.0155
2002	51.5103	61.7647
2003	50.6251	61.4865
2004	51.3102	65.6716
2005	51.6771	67.5862
2006	52.5142	59.4595
2007	52.3810	53.5484
2008	53.7450	51.1765
2009	53.0556	54.9118
2010	53.1196	59.3156
2011	53.9952	62.2112
2012	52.7347	68.4800
2013	53.0488	68.3200
2014	52.9922	65.4605
2015	53.3970	59.8770
2016	54.6022	58.8571
2017	55.4380	56.6329
2018	55.6025	55.8768
2019	55.7587	56.1782
2020	55.5603	56.2331
2021	56.2729	55.9729
2022	57.2850	57.1093
2023	57.9283	57.1934

