	Aargau	Basel-Landschaft	Basel-Stadt	Bern	Genf	Zug	Zürich	Schweiz
1999	53475	49769	107469	60036	84182	98134	84660	62815
2000	55469	52280	114382	62453	87942	106677	89801	65817
2001	57206	54806	120060	64042	87191	111219	89951	67134
2002	56333	55425	124809	63985	85679	110843	87343	66442
2003	55884	55717	129616	64352	85698	111208	87630	66669
2004	56945	57628	135232	65872	87964	116062	88984	68204
2005	58292	59528	140297	67528	91904	121498	91020	70242
2006	61766	63159	151185	70365	98153	130424	96732	74234
2007	65258	66641	160863	73470	105100	140110	102810	78453
2008	68069	69280	163754	76037	108625	147211	103829	80912
2009	65288	67417	160149	74376	104191	144258	99971	78298
2010	65476	69352	161092	76471	106748	157947	100943	80216
2011	65703	70116	167997	77295	106039	156101	100702	80779
2012	65194	69191	165745	77157	107260	156389	100644	80914
2013	65721	69905	166651	77907	108392	162334	100613	81429
2014	65776	71588	169523	78605	107175	154917	101356	81775
2015	64457	72261	171919	77791	104826	160241	100005	81092
2016	64454	72152	183530	76991	103901	160275	99754	81402
2017	64447	72574	190999	76865	105089	154098	99942	81306
2018	65109	72536	196538	78337	108834	156867	104286	83629
2019	65628	72245	196731	79582	109296	160115	102100	83899
2020	64312	70695	192528	77529	103180	159190	96934	80946
2021	64764	74221	203707	81369	111272	175243	98201	85733

