Antwort,Sehr gut,Eher gut,Eher nicht gut,Gar nicht gut,Weiss nicht /<br/>keine Angabe
2003<br/>(N=1497),6.5,52,19.2,2.7,19.6
2005<br/>(N=1510),5.7,56.5,19.3,2.5,16
2007<br/>(N=1509),3.7,49,25.9,3.2,18.2
2011<br/>(N=1516),8.9,62.5,18.2,2.5,7.9
2015<br/>(N=1506),8.6,59.6,21.5,2.7,7.6
