	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2016	100.00	100.00	100.00	100.00	100.00
2017	108.69	108.11	112.87	108.74	107.05
2018	114.32	122.84	113.64	115.69	116.31
2019	129.19	113.93	114.18	126.17	118.21
2020	119.36	120.03	89.77	118.45	105.05
2021	130.47	124.45	109.99	128.78	116.01
2022	154.58	158.71	125.83	154.26	135.30

