Jahr	Life Sciences	Chemische Industrie	Baugewerbe	Handel und Reparatur	Verkehr und Lagerei	Gastgewerbe	Finanz- und Versicherungsdienstl.	Grundstücks- und Wohnungswesen	Unternehmens- und freiberufl. Dienstl.	Öffentliche Verwaltung	Gesundheits- und Sozialwesen	Übrige Branchen
2000	23.22733977	2.806498356	2.989515168	8.578085415	5.755377716	1.591353174	15.67160423	6.245774346	9.496608035	6.559878768	5.97794453	11.10002049
2010	38.97666396	1.401433941	1.697099787	7.532695824	4.273916098	1.176358867	10.06013296	5.195977153	9.766632361	6.214821241	5.688722742	8.015545063
2018	43.9768263	0.965794056	1.859716086	6.194464256	3.321310324	1.181892399	8.794577539	4.301702859	10.89912364	6.105424731	5.986358233	6.412809574
