Antwort,Sehr gerne,Eher gerne,Eher ungern,Ganz ungern,Weiss nicht /<br/>keine Angabe
2003<br/>(N=1265),65.8,27.8,4.4,1.6,0.4
2005<br/>(N=1312),61.5,29.5,7.7,1,0.3
2007<br/>(N=1304),62.1,31,5.7,0.9,0.3
2011<br/>(N=1285),68.8,26,4.2,1,0
2015<br/>(N=1276),68.3,28.7,2.1,0.7,0.2
