"Jahr"	"Heizöl"	"Erdgas"	"Benzin"	"Diesel"	"Anteil am Endenergieverbrauch (rechte Skala)"
2010	503.116594	1262.5363303	416.166948	397.66955678	46.292625233
2012	443.12365626	1157.3573972	405.048215	351.14480156	45.111771073
2014	353.12950264	983.33047066	393.917677	373.994309	44.644041077
2016	258.23841724	932.13405667	378.591486	389.281783	41.6127322
2018	215.70116311	692.60280622	359.370153	398.445491	38.993030106
2020	198.34706706	694.91957457	224.836548	359.453233	35.647108886
2022	175.072661	558.40238675	208.251292	349.634329	33.411892317
