Jahr	Friedmatt	Kannenfeld	Landskron	Lysbüchel	Pestalozzi	Stadt Basel
2017	8.0	5.0	11.8	6.9	5.5	6.7
2018	8.0	4.6	11.9	6.4	4.8	6.5
2019	7.9	4.4	11.2	8.8	5.0	6.3
2020	7.4	4.0	9.9	8.0	5.2	6.1
2021	6.6	3.5	8.5	8.0	5.1	5.7
2022	5.8	2.7	8.1	6.7	4.7	5.3
2023	6.0	2.5	8.2	5.8	4.5	5.1
2024	5.9	2.4	7.8	5.6	3.9	5.0
