""	"Basel"	"Zürich"	"Bern"	"Genf"
"1996"	111.18	122.62	92.16	111.86
"2000"	126.61	141.95	108.47	124.96
"2002"	124.90	137.14	104.36	127.30
"2003"	117.89	132.72	100.23	123.21
"2004"	119.02	132.09	101.19	122.59
"2006"	117.16	130.31	104.84	122.24
"2008"	134.17	147.06	118.03	135.82
"2010"	134.88	147.71	120.08	134.97
"2012"	134.24	147.55	123.51	136.53
"2014"	133.62	146.71	119.40	136.77
"2016"	133.74	146.00	118.59	135.55
"2018"	133.33	146.43	115.57	134.82
"2020"	106.83	115.73	94.17	104.49
"2021"	121.26	132.84	106.03	118.74

