"Wohnviertel_ID"	"Wohnviertel_Name"	"Seit mindestens 10 Jahren an der gleichen Adresse lebende Personen in %"
1	Altstadt Grossbasel	31.50434385
2	Vorstädte	28.027129463
3	Am Ring	30.154968095
4	Breite	34.605116796
5	St. Alban	32.564591642
6	Gundeldingen	31.860056446
7	Bruderholz	42.364005557
8	Bachletten	41.749723145
9	Gotthelf	35.683391003
10	Iselin	33.372579031
11	St. Johann	32.356937123
12	Altstadt Kleinbasel	28.629856851
13	Clara	31.554353173
14	Wettstein	36.061151079
15	Hirzbrunnen	40.002132878
16	Rosental	20.438596491
17	Matthäus	30.633622892
18	Klybeck	34.48512272
19	Kleinhüningen	35.514345696
20	Riehen	42.549421858
30	Bettingen	40.890354493
