""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2012-01"	0.037124	198
"2012-02"	0.037124	203
"2012-03"	0.037124	189
"2012-04"	0.037124	187
"2012-05"	0.037124	190
"2012-06"	0.037124	178
"2012-07"	0.037124	189
"2012-08"	0.037124	200
"2012-09"	0.037124	208
"2012-10"	0.037124	211
"2012-11"	0.037124	208
"2012-12"	0.037124	205
"2013-01"	0.036497	230
"2013-02"	0.036497	219
"2013-03"	0.036497	206
"2013-04"	0.036497	202
"2013-05"	0.036497	190
"2013-06"	0.036497	183
"2013-07"	0.036497	188
"2013-08"	0.036497	194
"2013-09"	0.036497	185
"2013-10"	0.036497	178
"2013-11"	0.036497	174
"2013-12"	0.036497	177
"2014-01"	0.031350	182
"2014-02"	0.031350	180
"2014-03"	0.031350	172
"2014-04"	0.031350	161
"2014-05"	0.031350	157
"2014-06"	0.031350	157
"2014-07"	0.031350	149
"2014-08"	0.031350	146
"2014-09"	0.031350	172
"2014-10"	0.031350	173
"2014-11"	0.031350	178
"2014-12"	0.031350	171
"2015-01"	0.034567	183
"2015-02"	0.034567	178
"2015-03"	0.034567	176
"2015-04"	0.034567	177
"2015-05"	0.034567	187
"2015-06"	0.034567	197
"2015-07"	0.034567	192
"2015-08"	0.034567	198
"2015-09"	0.034567	185
"2015-10"	0.034567	186
"2015-11"	0.034567	172
"2015-12"	0.034567	172
"2016-01"	0.033594	172
"2016-02"	0.033594	184
"2016-03"	0.033594	177
"2016-04"	0.033594	178
"2016-05"	0.033594	179
"2016-06"	0.033594	173
"2016-07"	0.033594	173
"2016-08"	0.033594	191
"2016-09"	0.033594	187
"2016-10"	0.033594	174
"2016-11"	0.033594	179
"2016-12"	0.033594	174
"2017-01"	0.037438	180
"2017-02"	0.037438	183
"2017-03"	0.037438	202
"2017-04"	0.037438	213
"2017-05"	0.037438	203
"2017-06"	0.037438	191
"2017-07"	0.037438	196
"2017-08"	0.037438	210
"2017-09"	0.037438	215
"2017-10"	0.037438	203
"2017-11"	0.037438	197
"2017-12"	0.037438	193
"2018-01"	0.036889	214
"2018-02"	0.036889	214
"2018-03"	0.036889	219
"2018-04"	0.036889	211
"2018-05"	0.036889	189
"2018-06"	0.036889	184
"2018-07"	0.036889	187
"2018-08"	0.036889	185
"2018-09"	0.036889	191
"2018-10"	0.036889	193
"2018-11"	0.036889	189
"2018-12"	0.036889	175
"2019-01"	0.028840	184
"2019-02"	0.028840	178
"2019-03"	0.028840	171
"2019-04"	0.028840	156
"2019-05"	0.028840	138
"2019-06"	0.028840	142
"2019-07"	0.028840	147
"2019-08"	0.028840	155
"2019-09"	0.028840	145
"2019-10"	0.028840	141
"2019-11"	0.028840	143
"2019-12"	0.028840	138
"2020-01"	0.038646	154
"2020-02"	0.038646	150
"2020-03"	0.038646	182
"2020-04"	0.038646	205
"2020-05"	0.038646	224
"2020-06"	0.038646	225
"2020-07"	0.038646	221
"2020-08"	0.038646	224
"2020-09"	0.038646	221
"2020-10"	0.038646	216
"2020-11"	0.038646	220
"2020-12"	0.038646	221
"2021-01"	0.044279	244
"2021-02"	0.044279	251
"2021-03"	0.044279	256
"2021-04"	0.044279	235
"2021-05"	0.044279	235
"2021-06"	0.044279	236
"2021-07"	0.044279	223
"2021-08"	0.044279	239
"2021-09"	0.044279	232
"2021-10"	0.044279	223
"2021-11"	0.044279	225
"2021-12"	0.044279	223

