Jahr	Basel	Genf	Zürich	Bern
2008	20	29	26	17
2009	22	33	28	20
2010	23	36	29	30
2011	22	36	29	31
2012	24	36	29	22
2013	26	37	30	18
2014	26	36	30	18
2015	25	33	29	18
2016	27	36	31	20
2017	27	34	31	20
2018	26	33	31	20
2019	26	33	32	20
2020	22	29	27	18
2021	24	30	30	20
2022	
2023	25	28	31	23
2024	28	39	33	22
