"Jahr"	"Laden"	"Büro"	"Gewerbe"	"Produktion"	"Lager"	"Total"
2014	17186	75525	6126	682	15894	115413
2015	17576	60952	6866	821	17931	104146
2016	10559	54565	7793	2035	11291	86243
2017	11956	59699	17388	380	20317	109740
2018	12060	58024	16987	1098	19178	107347
2019	10624	61674	10161	3897	12287	98643
2020	9220	76480	18532	1791	14520	120543
2021	16033	122422	23556	410	22258	184679
2022	16317	110692	47038	3000	24543	201590
2023	15081	134317	24498	1242	15450	190588

