Kanton	KWI
ZG	100
BS	90.6
ZH	90.1
VD	75.2
AG	74.3
NW	72.4
SZ	71.3
LU	71.2
BL	71.1
GE	69.8
TG	66.7
SH	66.1
FR	62.9
SG	62.8
OW	58.6
AR	57.3
SO	55.8
NE	55.5
GL	55.5
TI	54.8
BE	54.3
AI	53.8
UR	47.9
GR	42.3
VS	40
JU	36.9



