jahr	Regional MIV	Regional ÖV ohne Frequenz	Regional ÖV mit Frequent
2000	135.7	171	
2002			
2003			
2004			
2005	138.7	164.4	167.1
2006			
2008	141.9	162.6	170.8
2010	147.2	163.1	177
2012	145.6	163.3	177.2
2014	146.5	168.3	184.6
2016	146.8	168.7	188.3
