Jahr, Weiss nicht/Keine Angabe, Sehr unzufrieden, Eher unzufrieden, Eher zufrieden, Sehr zufrieden
2003,274,49,342,601,186
2005,213,42,375,676,173
2007,259,23,278,744,170
2011,159,29,330,694,280
2015,202,80,401,551,152
