	Schweiz	Schweiz 95% Vertrauensintervall Untergrenze	Schweiz 95% Vertrauensintervall Obergrenze	Nordwestschweiz	Nordwestschweiz 95% Vertrauensintervall Untergrenze	Nordwestschweiz 95% Vertrauensintervall Obergrenze	Basel-Stadt	Basel-Stadt 95% Vertrauensintervall Untergrenze	Basel-Stadt 95% Vertrauensintervall Obergrenze
2016	27.226	25.563	28.890	27.098	22.288	31.909			
2018	28.254	26.610	29.897	27.688	23.163	32.213	36.689	23.889	49.489
2020	31.932	30.285	33.578	34.612	30.094	39.129	46.877	34.838	58.916
2022	30.350	28.606	32.094	32.097	27.294	36.899	40.106	27.127	53.086
