"Jahr"	"Bezug ausserkantonal"	"Wasserkraft"	"Photovoltaik"	"Thermische Erzeugung"	"Anteil Elektrizität am Endenergieverbrauch (rechte Skala)"
2010	1254.735426	210.2	3.4	159.953378	29.221970259
2012	1121.695894	260.3	6	157.365491	29.581514865
2014	978.378343	282.55	13.101795	170.897798	30.654001947
2016	974.612639	279.136815	20.858757	191.006102	31.144311762
2018	912.029764	251.1643	22.660303	157.610165	31.441771967
2020	875.170395	283	26.104851	167.638687	32.615893674
2022	777.770127	246	39.35076	177.180768	32.216215445
