"Land 2023"	"Anzahl"
"Deutschland"	17472
"Italien"	8871
"Türkei"	5646
"EU-West + EFTA + UK"	16917
"EU-Ost"	6114
"Balkan"	6585
"Mittel- und Südamerika"	2077
"Arabische Länder"	1934
"Afrikanische Länder"	2128
"Übrige Länder"	11463

