bewco,C,B,F,L,N,übrige
Ausland,40481,24490,659,2445,425,1087
,,,,,,
Deutschland,9090,5891,0,389,0,386
Italien,6277,1726,0,217,0,82
Spanien,2114,1381,0,147,0,29
Türkei,5375,953,22,15,16,11
Ehem. Jugoslawien ohne SLO,6809,1378,51,31,30,17
Maghreb und Ägypten,296,240,0,13,15,2
EU-Oststaaten,614,2403,1,374,1,49
Mittel- und Südamerika,845,1039,2,65,1,61
übriges Ausland,9061,9479,583,1194,362,450









