"Kaderstufe"	"Schweiz"	"Schweizer"	"Schweizerinnen"	"Ausland"	"Ausländer"	"Ausländerinnen"	"Total"
"Ohne Kaderfunktion"	4032	1513	2519	722	290	432	4754
"Unteres Fachkader"	68	40	28	8	4	4	76
"Unteres Kader"	176	117	59	26	13	13	202
"Mittleres Fachkader"	109	50	59	13	6	7	122
"Mittleres Kader"	192	109	83	14	10	4	206
"Oberes Kader"	117	71	46	5	2	3	122

