"Jahr"	"Kantone Basel-Stadt und Basel-Landschaft"	"Zielwert"
2004	71.1	100
2005	77.6	100
2006	97.4	100
2007	101	100
2008	99.1	100
2009	101.9	100
2010	98	100
2011	98.2	100
2012	103.2	100
2013	95.5	100
2014	99.4	100
2015	91.5	100
2016	95.2	100
2017	92.7	100
2018	98.3	100
2019	99	100
2020	95.6	100
2021	100.7	100
2022	100.5	100
2023	106.5	100
